year,industry1,industry2,industry3,retrench
2002,services,professional services,architectural and engineering services,180
2002,services,professional services,other professional services,260
2002,services,administrative and support services,administrative and support services,110
2002,services,"community, social and personal services",education,10
2002,services,"community, social and personal services","health, social and community services",-
2002,services,"community, social and personal services","other community, social and personal services",180
2002,others,others,others,180
2003,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",170
2003,manufacturing,paper products and printing,paper products and printing,220
2003,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",270
2003,manufacturing,rubber and plastic products,rubber and plastic products,580
2003,manufacturing,fabricated metal products,fabricated metal products,670
2003,manufacturing,machinery and equipment,machinery and equipment,500
2003,manufacturing,electrical products,electrical products,250
2003,manufacturing,electronic products,electronic products,3780
2003,manufacturing,medical and precision instruments,medical and precision instruments,210
2003,manufacturing,transport equipment,transport equipment,450
2003,manufacturing,other manufacturing industries,other manufacturing industries,410
2003,construction,construction,construction,740
2003,services,wholesale and retail trade,wholesale trade,1890
2003,services,wholesale and retail trade,retail trade,550
2003,services,transport and storage,land transport and supporting services,460
2003,services,transport and storage,water transport and supporting services,680
2003,services,transport and storage,air transport and supporting services,730
2003,services,transport and storage,other transport and storage services,220
2003,services,hotels and restaurants,hotels,230
2003,services,hotels and restaurants,restaurants,210
2003,services,information and communications,broadcasting and publishing,110
2003,services,information and communications,telecommunications,250
2003,services,information and communications,it and other information services,510
2003,services,financial services,financial institutions,1450
2003,services,financial services,insurance,100
2003,services,real estate and leasing services,real estate and leasing services,130
2003,services,professional services,"legal, accounting and management services",250
2003,services,professional services,architectural and engineering services,370
2003,services,professional services,other professional services,140
2003,services,administrative and support services,administrative and support services,240
2003,services,"community, social and personal services",education,30
2003,services,"community, social and personal services","health, social and community services",30
2003,services,"community, social and personal services","other community, social and personal services",190
2003,others,others,others,270
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",140
2004,manufacturing,paper products and printing,paper products and printing,60
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",490
2004,manufacturing,rubber and plastic products,rubber and plastic products,410
2004,manufacturing,fabricated metal products,fabricated metal products,280
2004,manufacturing,machinery and equipment,machinery and equipment,360
2004,manufacturing,electrical products,electrical products,370
2004,manufacturing,electronic products,electronic products,1810
2004,manufacturing,medical and precision instruments,medical and precision instruments,150
2004,manufacturing,transport equipment,transport equipment,140
2004,manufacturing,other manufacturing industries,other manufacturing industries,500
2004,construction,construction,construction,410
2004,services,wholesale and retail trade,wholesale trade,1040
2004,services,wholesale and retail trade,retail trade,220
2004,services,transport and storage,land transport and supporting services,50
2004,services,transport and storage,water transport and supporting services,110
2004,services,transport and storage,air transport and supporting services,800
2004,services,transport and storage,other transport and storage services,120
2004,services,hotels and restaurants,hotels,330
2004,services,hotels and restaurants,restaurants,270
2004,services,information and communications,broadcasting and publishing,120
2004,services,information and communications,telecommunications,170
2004,services,information and communications,it and other information services,210
2004,services,financial services,financial institutions,940
2004,services,financial services,insurance,80
2004,services,real estate and leasing services,real estate and leasing services,90
2004,services,professional services,"legal, accounting and management services",130
2004,services,professional services,architectural and engineering services,90
2004,services,professional services,other professional services,40
2004,services,administrative and support services,administrative and support services,100
2004,services,"community, social and personal services",education,70
2004,services,"community, social and personal services","health, social and community services",10
2004,services,"community, social and personal services","other community, social and personal services",220
2004,others,others,others,310
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",90
2005,manufacturing,paper products and printing,paper products and printing,60
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",150
2005,manufacturing,rubber and plastic products,rubber and plastic products,670
2005,manufacturing,fabricated metal products,fabricated metal products,440
2005,manufacturing,machinery and equipment,machinery and equipment,390
2005,manufacturing,electrical products,electrical products,370
2005,manufacturing,electronic products,electronic products,4300
2005,manufacturing,medical and precision instruments,medical and precision instruments,80
2005,manufacturing,transport equipment,transport equipment,30
2005,manufacturing,other manufacturing industries,other manufacturing industries,500
2005,construction,construction,construction,540
2005,services,wholesale and retail trade,wholesale trade,860
2005,services,wholesale and retail trade,retail trade,120
2005,services,transport and storage,land transport and supporting services,30
2005,services,transport and storage,water transport and supporting services,50
2005,services,transport and storage,air transport and supporting services,60
2005,services,transport and storage,other transport and storage services,160
2005,services,hotels and restaurants,hotels,-
2005,services,hotels and restaurants,restaurants,80
2005,services,information and communications,broadcasting and publishing,180
2005,services,information and communications,telecommunications,320
2005,services,information and communications,it and other information services,150
2005,services,financial services,financial institutions,670
2005,services,financial services,insurance,20
2005,services,real estate and leasing services,real estate and leasing services,80
2005,services,professional services,"legal, accounting and management services",110
2005,services,professional services,architectural and engineering services,210
2005,services,professional services,other professional services,30
2005,services,administrative and support services,administrative and support services,70
2005,services,"community, social and personal services",education,10
2005,services,"community, social and personal services","health, social and community services",220
2005,services,"community, social and personal services","other community, social and personal services",80
2005,others,others,others,20
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",140
2006,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",260
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",110
2006,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1120
2006,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",6630
2006,manufacturing,transport equipment,transport equipment,110
2006,manufacturing,other manufacturing industries,other manufacturing industries,500
2006,construction,construction,construction,490
2006,services,wholesale and retail trade,wholesale trade,960
2006,services,wholesale and retail trade,retail trade,60
2006,services,transportation and storage,land transport and supporting services,30
2006,services,transportation and storage,water transport and supporting services,100
2006,services,transportation and storage,air transport and supporting services,150
2006,services,transportation and storage,other transport and storage services,140
2006,services,accommodation and food services,accommodation,90
2006,services,accommodation and food services,food and beverage services,140
2006,services,information and communications,"telecommunications, broadcasting and publishing",500
2006,services,information and communications,it and other information services,110
2006,services,financial and insurance services,financial services,390
2006,services,financial and insurance services,insurance services,10
2006,services,real estate services,real estate services,150
2006,services,professional services,"legal, accounting and management services",190
2006,services,professional services,architectural and engineering services,30
2006,services,professional services,other professional services,40
2006,services,administrative and support services,security and investigation,-
2006,services,administrative and support services,cleaning and landscaping,10
2006,services,administrative and support services,other adminstrative and support services,200
2006,services,"community, social and personal services",public administration and education,170
2006,services,"community, social and personal services",health and social services,110
2006,services,"community, social and personal services","arts, entertainment and recreation",60
2006,services,"community, social and personal services","other community, social and personal services",40
2006,others,others,others,70
2007,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",130
2007,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",430
2007,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",50
2007,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1060
2007,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2290
2007,manufacturing,transport equipment,transport equipment,100
2007,manufacturing,other manufacturing industries,other manufacturing industries,1450
2007,construction,construction,construction,70
2007,services,wholesale and retail trade,wholesale trade,1140
2007,services,wholesale and retail trade,retail trade,100
2007,services,transportation and storage,land transport and supporting services,30
2007,services,transportation and storage,water transport and supporting services,20
2007,services,transportation and storage,air transport and supporting services,120
2007,services,transportation and storage,other transport and storage services,100
2007,services,accommodation and food services,accommodation,160
2007,services,accommodation and food services,food and beverage services,160
